GeneID	Annotation	wt	mutant#1	mutant#2	mutant#3
Zt100162	POPLD-domain-containing [Aureobasidium namibiae CBS ] | Zt100162	22.09	17.97	16.89	20.19
Zt100165	fumarate hydratase | Zt100165	72.21	72.03	62.88	106.94
Zt100167	FKBP-type peptidyl-prolyl isomerase | Zt100167	301.45	336.35	195.81	262.87
Zt100168	mannose-P-dolichol utilization defect 1 | Zt100168	44.05	40.57	42.43	38.52
Zt100176	sodium transport ATPase 5 | Zt100176	139.92	127.06	17.95	251.48
Zt100193	valyl-tRNA synthetase | Zt100193	43.18	34.73	42.53	44.68
Zt100203	amino acid permease | Zt100203	51.53	79.02	31.23	87.98
Zt100205	sorting nexin-4 | Zt100205	115.86	89.18	109.12	111.19
Zt100210	alanyl-tRNA synthetase | Zt100210	80.2	69.59	68.51	81.67
Zt100220	translation initiation factor RNA-binding subunit | Zt100220	223.78	162.01	214.79	146.96
Zt100224	mRNA transport regulator | Zt100224	53.85	44.39	55.72	45.99
Zt100226	2-hydroxyacyl- lyase 1 like | Zt100226	16.36	16.53	8.18	61.45
Zt100227	acyl- synthetase | Zt100227	37.21	27.96	25.83	37.04
Zt100232	glycosyltransferase family 2 | Zt100232	69.42	76.27	64.24	67.11
Zt100239	lactate 2-monooxygenase | Zt100239	26	27.5	19.57	20.72
Zt100243	C6 finger domain | Zt100243	39.71	36.24	56.58	41.1
Zt100250	Zn-dependent exopeptidase | Zt100250	76.46	64.89	402.78	74.27
Zt100252	glycoside hydrolase family 7 | Zt100252	11.2	17.44	14.35	16.99
Zt100257	glutathione S-transferase | Zt100257	735.59	530.09	377.68	441.99
Zt100264	lea domain-containing | Zt100264	7.07	8.37	5.16	44.83
Zt100271	aspartate aminotransferase | Zt100271	121.74	150.82	124.9	99.43
Zt100273	MFS general substrate transporter | Zt100273	24.33	27.69	28.62	26.91
Zt100276	purine permease | Zt100276	48.24	59.85	32.87	57.64
Zt100278	DNA-binding creA | Zt100278	89.6	66.65	138.58	81.16
Zt100283	major facilitator superfamily transporter | Zt100283	45.28	43.22	48.46	39.72
Zt100284	glycosyltransferase family 2 | Zt100284	13.86	17.21	13.69	25.4
Zt100300	Peptidyl-prolyl cis-trans isomerase | Zt100300	63.81	38.22	53.32	50.35
Zt100306	topoisomerase I | Zt100306	78.47	64.87	70.04	56.02
Zt100323	MRS7 family [Aureobasidium namibiae CBS ] | Zt100323	38.79	36.69	54.48	46.9
Zt100330	non-repetitive nucleoporin | Zt100330	18.55	16.64	20.24	17.57
Zt100343	peptidyl-prolyl cis-trans isomerase | Zt100343	66.2	62.8	56.64	50.86
Zt100344	phosphatidylinositolglycan class N | Zt100344	42.48	44.59	28.87	47.97
Zt100346	Palmitoyltransferase ankyrin repeat-containing akr1 | Zt100346	40.06	41.03	39.34	40.26
Zt100355	C2H2 conidiation transcription factor | Zt100355	234.63	133.68	174	179.74
Zt100364	Cleavage polyadenylation specificity A C-terminal | Zt100364	25.9	19.98	16.57	26
Zt100367	aromatic amino acid aminotransferase 1 | Zt100367	60.86	69.28	48.6	58.33
Zt100372	methyltransferase domain-containing | Zt100372	86.04	93.88	87.12	85.08
Zt100383	alpha beta-hydrolase | Zt100383	14.2	14.27	23.34	12.41
Zt100386	hypothetical protein MYCGRDRAFT_100386 | Zt100386	42.76	45.4	43.07	38.02
Zt100391	DNA J-class molecular chaperone | Zt100391	96.83	100.4	104.44	79.23
Zt100409	monocarboxylate transporter [Aureobasidium namibiae CBS ] | Zt100409	11.77	13.87	14.26	11.46
Zt100421	prostaglandin-endoperoxide synthase 1 like | Zt100421	176.42	14.18	103.49	191.72
Zt100423	ubiquitin carboxyl-terminal hydrolase 14 | Zt100423	46.61	42.23	47.65	33.33
Zt100434	autophagy-related 7 | Zt100434	40.21	28.68	39.92	34.15
Zt100443	nuclear polyadenylated rna-binding nab2 | Zt100443	48.55	41.09	44.3	49.45
Zt100444	WD40 repeat | Zt100444	31.1	22.22	23.9	24.93
Zt100450	nuclear segregation | Zt100450	156.91	97.4	76.92	80.68
Zt100453	DNA repair | Zt100453	29.06	25.95	79.35	34.93
Zt100461	acyltransferase like | Zt100461	95.59	106.31	107.31	95.35
Zt100462	copper amine oxidase | Zt100462	31.15	40.67	37.11	37.64
Zt100470	BUB kinase | Zt100470	10.4	16.66	10.56	20.84
Zt100473	sister chromatid separation | Zt100473	34.53	43.03	79.6	42.11
Zt100492	ubiquitin- ligase E3 component | Zt100492	23.11	22.77	28.42	24.38
Zt100493	Acetamidase Formamidase | Zt100493	415.4	429.21	252.09	288.65
Zt100496	glycoside hydrolase family 20 | Zt100496	101.63	94.24	42.42	57.33
Zt100498	AMP-binding partial | Zt100498	153.96	131.6	54.66	139.03
Zt100507	DWNN-domain-containing [Aureobasidium namibiae CBS ] | Zt100507	56.3	82.53	46.48	66.85
Zt100510	mitochondrial carrier | Zt100510	51.13	55.43	43.12	42.19
Zt100515	calcium-transporting P-type ATPase | Zt100515	48.5	53.53	48.9	51.1
Zt100533	hypothetical protein MYCGRDRAFT_100533 [Zymoseptoria tritici IPO323] | Zt100533	15.52	21.28	38.41	27.52
Zt100535	Zn2 Cys6 DNA-binding [Glarea lozoyensis ATCC 20868] | Zt100535	15.01	12.48	36.39	10.13
Zt100547	WD40 repeat | Zt100547	27.7	22.03	33.38	18.73
Zt100550	autophagy-related 9 | Zt100550	59.52	63.27	79.05	60.67
Zt100559	carboxylesterase type B [Exophiala dermatitidis NIH UT8656] | Zt100559	43.6	50.76	121.28	50.91
Zt100567	flap endonuclease 1 | Zt100567	56.26	48.54	68.41	41.64
Zt100575	sphingomyelinase family | Zt100575	33.45	29.8	29.78	24.21
Zt100579	ddhd domain-containing | Zt100579	69.39	46.84	76.65	69.24
Zt100580	leucine carboxyl methyltransferase | Zt100580	36.28	19.99	49.9	36.97
Zt100584	alpha beta-hydrolase | Zt100584	10.37	15.11	6.63	16.34
Zt100586	Hexokinase_2-domain-containing [Sphaerulina musiva SO2202] | Zt100586	195.95	173.71	190.68	192.96
Zt100589	WD repeat-containing | Zt100589	19.58	19.11	29.66	18.61
Zt100592	P450 monooxygenase [Zymoseptoria tritici IPO323] | Zt100592	16.66	8.14	25.9	24.74
Zt100608	Ubiquitin-conjugating E2 [Penicillium expansum] | Zt100608	252.83	248.64	335.07	273.13
Zt100614	glycoside hydrolase family 128 | Zt100614	9.35	30.52	24.02	55.16
Zt100618	NAD-dependent deacetylase sirtuin-2 [Sphaerulina musiva SO2202] | Zt100618	21.51	20.75	85.48	19.33
Zt100619	arginine N-methyltransferase [Sphaerulina musiva SO2202] | Zt100619	79.48	78.24	57.36	80.03
Zt100626	tetratricopeptide repeat domain [Neofusicoccum parvum UCRNP2] | Zt100626	15.74	17.52	19	13.78
Zt100643	glutathione S-transferase | Zt100643	1348.84	725.1	740.78	1326.92
Zt100647	glycoside hydrolase family 17 | Zt100647	742.19	194.67	193.41	228.18
Zt100649	hypothetical protein MYCGRDRAFT_100649 | Zt100649	5.29	11.84	6.59	4.1
Zt100653	hypothetical protein MYCGRDRAFT_100653 | Zt100653	71.93	88.49	75.79	69.4
Zt100657	3-dehydroshikimate dehydratase | Zt100657	101.14	37.61	122.77	117.46
Zt100666	hypothetical protein MYCGRDRAFT_100666 | Zt100666	12.97	25.6	26.49	33.6
Zt100674	cyclopropane-fatty-acyl-phospholipid synthase | Zt100674	101.67	104.18	69.8	87.57
Zt100684	bem46 family | Zt100684	57.1	52.09	76.04	39.47
Zt100718	hypothetical protein MYCGRDRAFT_100718 | Zt100718	33.23	19.57	12.75	18.4
Zt100728	DEAD-domain-containing | Zt100728	54.98	41.14	73.88	57.86
Zt100730	izh family channel | Zt100730	54.89	47.35	58.68	53.43
Zt100744	Aldo-keto reductase | Zt100744	32.88	18.94	26.32	28.61
Zt100746	26S proteasome subunit P45 | Zt100746	177.52	145.41	244.51	133.04
Zt100756	hypothetical protein MYCGRDRAFT_100756 | Zt100756	6.12	17.74	12.47	40.52
Zt100764	flavin-binding monooxygenase | Zt100764	134.69	104.62	86.15	136.02
Zt100770	SWIB-domain-containing | Zt100770	40.45	40.46	39.8	46.15
Zt100791	alcohol oxidase | Zt100791	553.06	818.14	232.5	666.74
Zt100794	Pkinase-domain-containing | Zt100794	30.31	25	30.64	24.42
Zt100796	P450 monooxygenase | Zt100796	26.86	26.69	23.05	24.65
Zt100832	plant senescence-associated | Zt100832	252.26	305.08	335.12	1982.06
Zt100838	hypothetical protein MYCGRDRAFT_100838 | Zt100838	77.98	63.71	70.4	73.41
Zt100839	Fe-containing alcohol | Zt100839	20.99	32.54	19.57	21.12
Zt100840	vacuolar membrane pq loop repeat | Zt100840	45.03	47.95	36.44	49.8
Zt100846	hypothetical protein MYCGRDRAFT_100846 | Zt100846	1.96	3.41	3.48	3.51
Zt100850	GMC oxidoreductase | Zt100850	0.07	0.24	3.27	5.42
Zt100851	ABC transporter | Zt100851	0.24	0.19	0.45	0.3
Zt100854	glycoside hydrolase family 18 [Cercospora fijiensis CIRAD86] | Zt100854	11.42	17.28	6.66	8.57
Zt100869	hpp family | Zt100869	41.63	36.57	50.71	44.92
Zt100872	peroxisomal copper amine oxidase [Sphaerulina musiva SO2202] | Zt100872	47.64	49.04	34.96	35.03
Zt100874	ubiquitin-conjugating enzyme [Sphaerulina musiva SO2202] | Zt100874	87.24	95.12	157.88	98.98
Zt100879	glucose-6-phosphate dehydrogenase | Zt100879	127.87	112.33	136.3	130.15
Zt100881	serine threonine kinase [Zymoseptoria tritici IPO323] | Zt100881	95.46	102.8	113.7	119.43
Zt100890	rai-1 [Neurospora crassa OR74A] | Zt100890	21.3	20.64	22.04	20.35
Zt100894	periodic tryptophan 2 | Zt100894	25.59	21.37	24.45	26.08
Zt100895	cell division control 12 | Zt100895	126.33	162.48	126.59	163.44
Zt100896	NADH:flavin oxidoreductase NADH oxidase | Zt100896	46.47	38.98	25.69	28.59
Zt100899	SNARE domain [Sphaerulina musiva SO2202] | Zt100899	66.65	68	64.76	61.09
Zt100901	Arginine biosynthesis bifunctional | Zt100901	64.03	53.05	47.17	43.03
Zt100915	molecular chaperone [Zymoseptoria tritici IPO323] | Zt100915	57.02	45.72	55.72	43.53
Zt100939	hypothetical protein MYCGRDRAFT_100939, partial | Zt100939	49.54	50.82	42.98	39.04
Zt100940	vacuolar sorting-associated 45 | Zt100940	62.66	55.41	61.64	47.61
Zt100955	urease accessory | Zt100955	26.67	33.12	40.43	34.31
Zt100958	amidase | Zt100958	29.42	29.11	22.98	33.65
Zt100962	short chain dehydrogenase reductase family | Zt100962	71.1	72.77	71.69	63.2
Zt100967	serine threonine- phosphatase 2B catalytic subunit | Zt100967	85.46	79.04	95.9	82.07
Zt100974	60S ribosomal L4 | Zt100974	235.48	191.22	271.01	228.53
Zt100978	transcriptional repressor | Zt100978	87.48	68.85	119.53	65.01
Zt100985	phospholipase Carboxylesterase superfamily | Zt100985	21.84	20.95	58.33	16.53
Zt100988	pq loop repeat | Zt100988	53.78	53.98	58.83	46.49
Zt100990	glutathione-dependent formaldehyde- GFA | Zt100990	54.45	5.92	30.26	42.21
Zt100994	transcription factor C6 like | Zt100994	13.25	16.84	14.48	15.46
Zt10100	SNF2 family DNA repair and recombination partial | Zt10100	14.35	9.87	30.74	19.38
Zt101007	Polycomb enhancer | Zt101007	59.9	57.1	61.42	68.87
Zt101009	transport particle component | Zt101009	52.17	50.54	58.67	44.6
Zt101025	oligopeptide transporter | Zt101025	1.77	4.84	5.81	4.61
Zt101026	aromatic amino acid aminotransferas | Zt101026	130.5	105.42	132.13	128.68
Zt101027	cyclophilin partial | Zt101027	43.22	40.46	45.2	43.41
Zt101035	WSC domain-containing | Zt101035	27.97	21.5	45	42.74
Zt101041	high-temperature-induced dauer-formation | Zt101041	22.41	22.87	39.18	26.95
Zt101059	cysteine synthase | Zt101059	30.72	31.32	31.51	33.07
Zt101063	hypothetical protein MYCGRDRAFT_101063 | Zt101063	19.2	23.39	24.45	27.33
Zt101067	gtp-binding gtr1 | Zt101067	35.73	50.79	32.9	56.24
Zt101069	nap family | Zt101069	61.7	49.52	50.87	69.62
Zt101073	fatty acid elongase | Zt101073	206.67	245.07	93.21	194.76
Zt101077	hypothetical protein MYCGRDRAFT_101077 | Zt101077	21.71	21.61	76.5	19.3
Zt101079	MFS general substrate transporter | Zt101079	51.44	26.46	28.39	29.28
Zt10108	histone-lysine N-methyltransferase | Zt10108	43.51	45.13	48.93	48.05
Zt101080	hypothetical protein MYCGRDRAFT_101080 | Zt101080	63.81	38.01	30.71	38.74
Zt101090	esterase lipase thioesterase | Zt101090	86.65	84.68	27.76	65.82
Zt101096	glycosyltransferase family 4 | Zt101096	13.16	12.94	14.91	14.14
Zt101103	dnaj heat shock family | Zt101103	48.08	31.96	54.64	42.81
Zt101108	RNA binding | Zt101108	83.02	72.61	97.18	61.85
Zt101114	P450 monooxygenase | Zt101114	58.66	61.89	71.08	55.67
Zt101121	general substrate transporter | Zt101121	50.11	8.66	6.33	16.45
Zt101124	betaine aldehyde dehydrogenase 2 | Zt101124	73.1	48.74	63.29	118.52
Zt101134	NAD(P)-binding [Aureobasidium namibiae CBS ] | Zt101134	65.12	45.76	71.61	69.97
Zt101149	kinase partial | Zt101149	4.9	12.27	5.09	7.6
Zt101160	topoisomerase II-associated PAT1 | Zt101160	82.11	70.21	80.88	69.77
Zt101162	zinc finger zpr1 | Zt101162	44.71	33.68	51.95	48.99
Zt101169	phosphatase type 2A | Zt101169	91.06	104.92	94.71	90.08
Zt101180	atp-dependent rna helicase dbp4 | Zt101180	34.42	24.07	29.11	27.07
Zt101182	Sodium:neurotransmitter symporter | Zt101182	34.2	27.52	30.08	46.59
Zt101192	nucleoside diphosphatase | Zt101192	70.06	76.47	62.57	49.9
Zt101194	E set domain-containing | Zt101194	142.94	104.29	170.51	98.82
Zt101204	WD40 repeat | Zt101204	26.85	21.91	47.77	36.37
Zt101206	MFS general substrate transporter | Zt101206	24.62	49.7	20.69	33.66
Zt101210	alcohol dehydrogenase 1 | Zt101210	90.65	165.32	30.66	115.21
Zt101221	ccch finger dna binding | Zt101221	132.23	118.3	128.53	135.79
Zt101229	serine threonine- phosphatase PP2A catalytic subunit | Zt101229	80.22	77.18	95.79	60.65
Zt101230	cyclopropane-fatty-acyl-phospholipid synthase | Zt101230	143.24	137.14	73.47	126.94
Zt101235	heme-thiolate peroxidase aromatic peroxygenase | Zt101235	45.59	17.38	231.5	61.57
Zt101238	Small GTPase Rab type | Zt101238	104.69	100.39	117.17	95.54
Zt101240	vacuolar ATP synthase subunit D [Aureobasidium namibiae CBS ] | Zt101240	173.7	154.43	180.57	129.96
Zt101252	ABC transporter domain-containing | Zt101252	52.08	53.04	41.34	46.34
Zt10126	cellular morphogenesis | Zt10126	57.3	87.41	77.67	112.81
Zt101265	glycosyltransferase family 90 | Zt101265	34.89	32.12	34.34	28.03
Zt101270	DDHD domain-containing | Zt101270	31.04	31.8	92.12	49.52
Zt101271	vacuolar sorting-associated 11 | Zt101271	24.49	21.43	30.7	18.89
Zt101275	UDP-glucose 4-epimerase | Zt101275	133.2	101.75	105.29	86.01
Zt101277	V-type H+-transporting ATPase 21kDa proteolipid subunit | Zt101277	182.25	170.05	186.77	147.66
Zt101279	calcium dependent mitochondrial carrier | Zt101279	57.79	54.4	53.37	64.98
Zt101297	pentatricopeptide repeat | Zt101297	48.69	49.53	61.3	51.71
Zt101300	vesicle-associated membrane 7 | Zt101300	91.02	52.97	146.96	72.82
Zt101301	nucleic acid-binding | Zt101301	43.26	56.35	33.66	46.6
Zt101325	2-deoxy-D-gluconate 3-dehydrogenase | Zt101325	131.25	114.6	56.21	139.22
Zt101326	GPR1 FUN34 -class plasma membrane | Zt101326	90.51	198.18	16.97	40.79
Zt101338	exocyst complex exo70 | Zt101338	57.39	51.56	61.61	46.24
Zt101342	glycosyltransferase family 41 | Zt101342	45.38	48.57	49.35	56.38
Zt101353	eukaryotic translation initiation factor 2 subunit alpha | Zt101353	187.08	144.92	176.51	125.84
Zt101356	FRE ferric reductase-like transmembrane component | Zt101356	44.04	54.63	28.83	62.27
Zt101358	4-coumarate- ligase like | Zt101358	40.9	35.46	39.14	35.1
Zt101362	ras GEF | Zt101362	43.51	45.62	45.44	44.4
Zt101365	disulfide isomerase | Zt101365	211.42	134.64	180.44	144.51
Zt101366	Poly(A) polymerase | Zt101366	48.53	69.48	43.95	51.56
Zt101384	mitochondrial escape 2 | Zt101384	36.56	32.76	39.45	29.65
Zt101387	glycosyltransferase family 35 | Zt101387	224.18	192.3	186.9	133.67
Zt101398	alpha beta-hydrolase | Zt101398	64.41	41.38	31.75	43.38
Zt101405	acetyl- hydrolase | Zt101405	23.46	31.27	39.69	32.83
Zt101408	auxin efflux carrier | Zt101408	210.58	80.54	87.43	247.94
Zt101410	WW Rsp5 WWP | Zt101410	63.88	44.94	74.84	95.21
Zt101413	serine threonine- phosphatase 5 | Zt101413	64.14	50.57	70.85	62.87
Zt101415	candidapepsin-4 precursor | Zt101415	15.85	14.6	31.81	65.52
Zt101417	nuclear dgcr14 | Zt101417	33.78	33.18	31.45	23.09
Zt101428	DUF663-domain-containing | Zt101428	20.09	17.2	18.58	22.37
Zt101429	signal recognition | Zt101429	48.33	41.27	60.35	41.64
Zt101434	isocitrate NAD-dependent | Zt101434	164.47	185.87	168.02	168.54
Zt101437	Fatty acid type 1 | Zt101437	62.03	86.5	78.76	82.87
Zt101446	carnitine O-acetyltransferase | Zt101446	82.16	70.76	56.27	67.43
Zt101448	DASH complex subunit Ask1 | Zt101448	26.87	25.11	38.2	20.86
Zt101457	small nuclear ribonucleo Sm D2 | Zt101457	235.7	277.4	185.74	197.27
Zt101461	ABC transporter | Zt101461	32.73	19.3	23.3	27.6
Zt101464	MPP-like metallohydrolase | Zt101464	218.24	224.63	199.48	202.33
Zt101466	amino acid transporter | Zt101466	9.49	6.09	5.58	5.21
Zt101477	MFS general substrate transporter | Zt101477	18.15	85.36	14.65	15.41
Zt101478	66S preribosome component MAK16 | Zt101478	40.98	33.97	31.17	37.07
Zt101482	cation-transporting atpase 4 | Zt101482	43.13	36.03	48.91	43.48
Zt101485	cell cycle checkpoint | Zt101485	45.52	59.97	117.79	35.71
Zt101489	Thiamin diphosphate-binding | Zt101489	26.33	21.77	11.12	18
Zt101493	polyketide synthase | Zt101493	7.19	6.8	5	4.14
Zt101499	NADPH2 dehydrogenase | Zt101499	6.27	5.9	4.59	12.24
Zt101503	molybdopterin binding oxidoreductase | Zt101503	16.47	11.4	17.14	14.75
Zt101514	arad-like aldolase epimerase | Zt101514	57.1	62	64.21	66.57
Zt101520	N-terminal nucleophile aminohydrolase | Zt101520	171.78	162.49	315.03	140.7
Zt101535	ATP-dependent DNA ligase | Zt101535	33.86	20.67	35.72	32.04
Zt101539	casein kinase substrate phospho pp28 | Zt101539	149.67	146.22	256.14	132.13
Zt101551	Zinc-binding oxidoreductase | Zt101551	165.2	109.48	658.61	110.92
Zt101554	vacuolar assembly | Zt101554	45.9	50.63	42.57	48.97
Zt101572	small oligopeptide transporter | Zt101572	126.22	122.59	248.93	194.63
Zt101579	glycoside hydrolase family 18 | Zt101579	35.51	35.46	32.52	32.92
Zt101587	disulfide isomerase | Zt101587	245.13	267.87	224.92	199.03
Zt101589	mitochondrial carrier | Zt101589	50.31	55.96	46.58	42.34
Zt101590	phosphate:h+ symporter | Zt101590	6.42	8.6	7.21	8.61
Zt101591	FAD NAD(P)-binding domain-containing [Aureobasidium namibiae CBS ] | Zt101591	16.4	15.68	12.81	18.42
Zt101592	hypothetical protein MYCGRDRAFT_101592 | Zt101592	71.39	82.23	44.36	61.93
Zt101603	amino acid transporter like | Zt101603	14.96	7.8	19.1	26.97
Zt101607	RING finger | Zt101607	48.86	42.71	78.39	43.92
Zt101609	ATP-dependent RNA helicase DHH1 | Zt101609	77.5	71.66	91.83	75.96
Zt101642	oxysterol binding | Zt101642	56.54	42.99	113.62	62.35
Zt10165	glycosyltransferase family 1 | Zt10165	15.23	13.21	14.4	21.5
Zt101652	hypothetical protein MYCGRDRAFT_101652 | Zt101652	34.47	38.3	35.62	25.02
Zt101655	1,3-beta-glucan synthase component FKS1 | Zt101655	94.55	94.49	110.32	92.31
Zt101662	tat pathway signal sequence like | Zt101662	57.17	61.7	55.59	52.22
Zt101664	nicotinate-nucleotide pyrophosphorylase | Zt101664	144.32	101.48	136.55	109.07
Zt101665	trna m g methyltransferase domain containing | Zt101665	26.83	20.91	24.78	20.83
Zt101670	transcription initiation factor subunit TAF5 | Zt101670	41.17	31.56	40.7	32.37
Zt101672	Hypothetical protein MYCGRDRAFT_101672 | Zt101672	40.89	69.03	28.45	51.22
Zt101681	related to aquaporin | Zt101681	299.01	62.52	348.58	243.39
Zt101693	beta-galactosidase glycoside hydrolase family 35 | Zt101693	24.21	23.39	19.09	25.5
Zt101694	n-sulfoglucosamine sulfohydrolase | Zt101694	29.45	19.67	37.73	16.36
Zt101702	haloacid dehalogenase-like hydrolase | Zt101702	23.88	22.56	20.42	32.99
Zt101708	pheromone-processing carboxypeptidase KEX1 | Zt101708	37.65	35.27	48.72	37.27
Zt101712	regulator of G signaling superfamily | Zt101712	24.08	29.36	36.66	47.15
Zt101715	NADH-quinone oxidoreductase | Zt101715	116.57	109.84	87.81	114.6
Zt101727	mitochondrial carrier | Zt101727	64.52	65.93	65.62	63.95
Zt10173	sensor histidine kinase response regulator | Zt10173	34.54	48.36	64.63	46.82
Zt101742	glycoside hydrolase family 92 | Zt101742	15.73	15.45	11.68	20.29
Zt101763	polysaccharide deacetylase family | Zt101763	97.68	66.98	50.58	47.02
Zt101770	formate nitrite transporter family | Zt101770	310.77	220.91	374.95	417.51
Zt101774	60s acidic ribosomal P1 | Zt101774	569.85	537.95	536.94	542.99
Zt101775	hypothetical protein MYCGRDRAFT_101775 | Zt101775	139.26	163.66	122.81	156.13
Zt101782	40S ribosomal S23 | Zt101782	732.03	639.11	602.6	544.29
Zt101785	chorismate synthase | Zt101785	76.42	57.87	57.44	59.86
Zt101786	ribonucleoside-diphosphate reductase large chain | Zt101786	51.06	60.14	57.52	53.96
Zt101788	Glycoside family 71 | Zt101788	42.46	50.8	95.78	43.02
Zt101791	elongator complex 1 | Zt101791	22.74	20.25	24.02	20.04
Zt101794	NAD(P)-binding [Aureobasidium namibiae CBS ] | Zt101794	94.17	62.85	71.75	67.47
Zt101803	argininosuccinate lyase | Zt101803	80.29	71.27	50.04	69.49
Zt101835	hypothetical protein MYCGRDRAFT_101835 | Zt101835	512.59	100.05	25.97	430.5
Zt101837	complex i intermediate-associated 30 | Zt101837	28.07	26.4	40.74	25
Zt10184	filamentation (Rhf1) | Zt10184	42.15	43.56	56.59	42.23
Zt101849	siroheme synthase | Zt101849	211	250.21	149.69	183.81
Zt101850	dsdna-binding pdcd5 | Zt101850	58.27	76.6	60.27	56.47
Zt101851	Phosphoadenosine phosphosulfate reductase | Zt101851	101.69	153.07	104.82	147.13
Zt101857	casein kinase I isoform delta | Zt101857	235.63	198.53	189.78	191.77
Zt101861	WD40 repeat | Zt101861	33.05	26.13	33.75	28.3
Zt101867	pre-mRNA splicing | Zt101867	52.3	47.06	55.81	41.57
Zt101874	3-oxoacyl-(acyl carrier ) reductase | Zt101874	110.91	86.44	97.25	88.56
Zt101876	MFS general substrate transporter | Zt101876	40.8	48.75	71.66	101.07
Zt101885	cytochrome P450 | Zt101885	39.99	36.57	10.28	33.74
Zt101890	antibiotic biosynthesis monooxygenase | Zt101890	56.42	71.87	114.37	53.12
Zt101893	cytoplasm to vacuole targeting Vps64 | Zt101893	50.19	41.84	48.38	48.48
Zt101897	ER-Golgi SNARE complex subunit (Sed5) | Zt101897	49.79	55.43	76.21	61.9
Zt101913	related to GABA permease | Zt101913	124.23	187.06	57.56	132.17
Zt101921	Phytoene dehydrogenase | Zt101921	41.5	34.74	35.75	34.09
Zt101925	hypothetical protein MYCGRDRAFT_101925 | Zt101925	35.16	50.43	39.78	51.93
Zt101931	Camphor resistance partial | Zt101931	61.13	33.61	52.05	28.5
Zt101933	hypothetical protein MYCGRDRAFT_101933, partial | Zt101933	170.26	188.2	195.89	155.16
Zt101983	s-adenosylmethionine trna ribosyltransferase | Zt101983	35.2	28.14	24.85	25.53
Zt101989	hypothetical protein MYCGRDRAFT_101989, partial | Zt101989	24.31	23.45	22.11	25.97
Zt101995	FYVE zinc finger | Zt101995	46.2	58.56	53.46	80.82
Zt101997	RNA-binding domain-containing | Zt101997	43.35	37.81	37.54	41.42
Zt102005	60S ribosomal L23 | Zt102005	248.95	240.79	188.44	212.15
Zt102012	cytochrome c oxidase polypeptide IV mitochondrial precursor | Zt102012	186.82	206.99	134.82	164.76
Zt102016	GPI anchored serine-threonine rich | Zt102016	9.52	28.31	16.64	32.83
Zt102019	bax inhibitor family | Zt102019	182.66	155.95	186.3	148.52
Zt102020	hypothetical protein MYCGRDRAFT_102020 | Zt102020	5.36	13.16	7.9	8.25
Zt102025	hypothetical protein MYCGRDRAFT_102025, partial | Zt102025	67.73	49.44	48.5	44.32
Zt102027	60S ribosomal L34 | Zt102027	361.91	358.17	290.79	296.99
Zt102031	hypothetical protein MYCGRDRAFT_102031, partial | Zt102031	22.49	21.42	25.62	22.16
Zt102033	hypothetical protein MYCGRDRAFT_102033 | Zt102033	25.17	21.38	34.09	31.93
Zt102037	hypothetical protein MYCGRDRAFT_102037 | Zt102037	17.08	20.99	22.2	19.51
Zt102047	glycoside hydrolase family 16 | Zt102047	243.9	424.71	201.77	323.77
