GeneID	locus	sample_1	sample_2	status	value_1	value_2	log2FC	test_stat	p_value	q_value	significant
Zt34180	chromosome_1:3153836-3154747	ipo323	myco56	OK	25.3805	19.9577	-0.346777	-0.631511	0.66305	0.99889	no
Zt35012	chromosome_1:2656780-2657599	ipo323	myco56	OK	125	165.084	0.401276	0.91757	0.5427	0.99889	no
Zt33778	chromosome_1:2051849-2052504	ipo323	myco56	OK	198.189	208.389	0.0724032	0.170055	0.9105	0.99889	no
Zt34525	chromosome_1:5740973-5741579	ipo323	myco56	OK	7.86732	21.2283	1.43204	2.60243	0.13935	0.99889	no
Zt31461	chromosome_1:4948978-4949618	ipo323	myco56	OK	100.919	118.272	0.228905	0.534588	0.72845	0.99889	no
Zt33593	chromosome_1:5595468-5598344	ipo323	myco56	OK	31.2346	30.7226	-0.0238461	-0.0396527	0.9705	0.99889	no
Zt34437	chromosome_1:1964399-1965043	ipo323	myco56	OK	832.801	751.6	-0.148006	-0.333326	0.8325	0.99889	no
Zt34938	chromosome_1:822993-823287	ipo323	myco56	OK	113.22	121.047	0.0964338	0.378398	0.90195	0.99889	no
Zt34487	chromosome_1:587102-591962	ipo323	myco56	OK	4.14296	11.0491	1.4152	2.12218	0.04785	0.72811	no
Zt32659	chromosome_1:3330583-3330811	ipo323	myco56	OK	142.211	154.548	0.120028	0.829118	0.886	0.99889	no
Zt31968	chromosome_1:4211779-4212328	ipo323	myco56	OK	2974.11	2532.04	-0.232156	-0.533193	0.7737	0.99889	no
Zt33005	chromosome_1:2746314-2746699	ipo323	myco56	OK	195.916	209.649	0.0977372	0.355581	0.88755	0.99889	no
Zt33479	chromosome_1:1947648-1948201	ipo323	myco56	OK	63.5451	206.565	1.70074	4.42984	0.0213	0.458004	no
Zt32685	chromosome_1:4820712-4821099	ipo323	myco56	OK	141.156	96.6525	-0.546415	-1.57925	0.4493	0.99889	no
Zt34130	chromosome_1:491932-492364	ipo323	myco56	NOTEST	0.599982	1.19888	0.998701	0	1	1	no
Zt32304	chromosome_1:3424395-3424964	ipo323	myco56	OK	218.677	223.628	0.0323002	0.0977805	0.9603	0.99889	no
Zt32913	chromosome_1:2366582-2367026	ipo323	myco56	OK	131.498	121.187	-0.117804	-0.343498	0.86615	0.99889	no
Zt31813	chromosome_1:2087591-2087976	ipo323	myco56	OK	333.474	265.981	-0.326251	-1.2128	0.6231	0.99889	no
Zt33605	chromosome_1:4851870-4852152	ipo323	myco56	OK	106.883	29.3333	-1.86542	-6.89979	0.05755	0.808969	no
Zt33514	chromosome_1:5776945-5777317	ipo323	myco56	OK	284.446	410.919	0.530699	2.56929	0.4482	0.99889	no
Zt33619	chromosome_1:4845339-4845555	ipo323	myco56	OK	32.4488	75.07	1.21007	7.84328	0.3098	0.99889	no
Zt31653	chromosome_1:2484356-2484602	ipo323	myco56	OK	87.7944	78.1754	-0.167415	-0.869946	0.8525	0.99889	no
Zt33375	chromosome_1:1383090-1383324	ipo323	myco56	OK	129.868	80.0063	-0.698863	-4.22613	0.4432	0.99889	no
Zt35259	chromosome_1:5828427-5828607	ipo323	myco56	NOTEST	0	0	0	0	1	1	no
Zt34783	chromosome_1:5340268-5340556	ipo323	myco56	NOTEST	0	0	0	0	1	1	no
Zt33657	chromosome_1:5081900-5082158	ipo323	myco56	OK	36.8115	43.6582	0.246098	1.0181	0.8072	0.99889	no
Zt32133	chromosome_1:5063434-5071105	ipo323	myco56	OK	1.2869	2.72945	1.08471	1.45341	0.16215	0.99889	no
Zt31749	chromosome_1:5238978-5241633	ipo323	myco56	OK	19.2861	18.0335	-0.0968845	-0.15791	0.88065	0.99889	no
Zt34426	chromosome_1:5042339-5047229	ipo323	myco56	OK	3.07816	4.30607	0.484304	0.676669	0.51435	0.99889	no
Zt32213	chromosome_1:278571-283062	ipo323	myco56	OK	19.8608	19.2121	-0.0479135	-0.077439	0.94035	0.99889	no
Zt35226	chromosome_1:5376491-5380667	ipo323	myco56	OK	64.4433	53.7796	-0.26097	-0.383355	0.7074	0.99889	no
Zt32716	chromosome_1:2281518-2285085	ipo323	myco56	OK	23.6275	23.3499	-0.0170506	-0.0280899	0.9782	0.99889	no
Zt32494	chromosome_1:5265900-5268677	ipo323	myco56	OK	34.3892	31.3418	-0.133864	-0.222428	0.8336	0.99889	no
Zt32217	chromosome_1:1032635-1036058	ipo323	myco56	OK	48.69	46.4367	-0.0683604	-0.108061	0.9164	0.99889	no
Zt33362	chromosome_1:195006-197547	ipo323	myco56	OK	27.1258	25.9239	-0.0653846	-0.10862	0.92255	0.99889	no
Zt32502	chromosome_1:3601274-3604610	ipo323	myco56	OK	42.1389	31.692	-0.411032	-0.665682	0.5302	0.99889	no
Zt34542	chromosome_1:1181300-1183895	ipo323	myco56	OK	45.1771	37.6197	-0.264102	-0.444768	0.68245	0.99889	no
Zt34213	chromosome_1:1569397-1573164	ipo323	myco56	OK	24.792	23.3825	-0.0844468	-0.139237	0.8937	0.99889	no
Zt32359	chromosome_1:2936083-2938858	ipo323	myco56	OK	36.2879	38.8834	0.0996679	0.165082	0.87365	0.99889	no
Zt31572	chromosome_1:3273567-3276799	ipo323	myco56	OK	57.5225	41.2626	-0.479293	-0.775545	0.4608	0.99889	no
Zt34265	chromosome_1:2606625-2609637	ipo323	myco56	OK	28.2603	27.0002	-0.0658036	-0.109277	0.91965	0.99889	no
Zt33662	chromosome_1:1883158-1885525	ipo323	myco56	OK	66.6285	67.6971	0.0229557	0.0383669	0.9696	0.99889	no
Zt32555	chromosome_1:1681236-1683747	ipo323	myco56	OK	2.03341	3.53985	0.799786	1.02656	0.35635	0.99889	no
Zt33864	chromosome_1:4025306-4027884	ipo323	myco56	OK	138.899	136.386	-0.0263357	-0.0384623	0.97095	0.99889	no
Zt35159	chromosome_1:3246789-3248688	ipo323	myco56	OK	49.344	39.3892	-0.325073	-0.560768	0.61675	0.99889	no
Zt32527	chromosome_1:5272461-5275022	ipo323	myco56	OK	38.0817	33.4725	-0.18612	-0.314715	0.7715	0.99889	no
Zt31528	chromosome_1:5724888-5726727	ipo323	myco56	OK	19.0328	28.9623	0.60569	1.00667	0.36155	0.99889	no
Zt34912	chromosome_1:4061365-4064120	ipo323	myco56	OK	3.65856	3.16338	-0.20981	-0.280262	0.79675	0.99889	no
Zt31277	chromosome_1:4114671-4116948	ipo323	myco56	OK	27.0204	16.4048	-0.719935	-1.18313	0.279	0.99889	no
Zt31554	chromosome_1:334755-337193	ipo323	myco56	OK	0.67785	3.35777	2.30847	2.55095	0.04625	0.712711	no
Zt33699	chromosome_1:3948918-3953829	ipo323	myco56	OK	14.0997	24.8722	0.818874	1.30539	0.211	0.99889	no
Zt33019	chromosome_1:1645624-1647776	ipo323	myco56	OK	161.869	187.209	0.209828	0.310615	0.7792	0.99889	no
Zt31414	chromosome_1:3907115-3909410	ipo323	myco56	OK	25.6766	23.7987	-0.10957	-0.1828	0.86915	0.99889	no
Zt31283	chromosome_1:1531174-1533157	ipo323	myco56	OK	42.8756	58.166	0.44002	0.75859	0.49555	0.99889	no
Zt32808	chromosome_1:3244097-3246511	ipo323	myco56	OK	7.80974	10.1124	0.372773	0.555499	0.6115	0.99889	no
Zt34521	chromosome_1:2959038-2961129	ipo323	myco56	OK	50.2986	37.0625	-0.440559	-0.750649	0.4963	0.99889	no
Zt35160	chromosome_1:5721115-5722700	ipo323	myco56	OK	13.7598	24.6945	0.843733	1.37013	0.23845	0.99889	no
Zt32817	chromosome_1:2119610-2122082	ipo323	myco56	OK	27.4593	21.4911	-0.353559	-0.585928	0.59045	0.99889	no
Zt33779	chromosome_1:4440704-4443006	ipo323	myco56	OK	47.9567	53.9926	0.17103	0.290187	0.7951	0.99889	no
Zt34433	chromosome_1:1850731-1852705	ipo323	myco56	OK	20.7243	25.1218	0.277616	0.46166	0.67345	0.99889	no
Zt34921	chromosome_1:3681740-3683638	ipo323	myco56	OK	148.828	94.4546	-0.655956	-1.05366	0.34605	0.99889	no
Zt34630	chromosome_1:2401677-2403765	ipo323	myco56	OK	22.1282	25.1374	0.183947	0.305987	0.77395	0.99889	no
Zt32432	chromosome_1:2210893-2212738	ipo323	myco56	OK	4.23289	6.96247	0.717956	1.00374	0.37815	0.99889	no
Zt34632	chromosome_1:5157321-5159526	ipo323	myco56	OK	14.1594	12.1317	-0.22298	-0.347856	0.7538	0.99889	no
Zt33533	chromosome_1:1848181-1849507	ipo323	myco56	OK	18.1773	28.4981	0.648724	1.08466	0.3675	0.99889	no
Zt33626	chromosome_1:1129625-1131357	ipo323	myco56	OK	4.43154	5.32626	0.265314	0.365071	0.7464	0.99889	no
Zt34052	chromosome_1:5590279-5592132	ipo323	myco56	OK	4.18501	24.4416	2.54604	3.78628	0.00305	0.140092	no
Zt35166	chromosome_1:5821220-5823579	ipo323	myco56	OK	37.3691	38.1972	0.0316196	0.053767	0.95965	0.99889	no
Zt33425	chromosome_1:758875-760729	ipo323	myco56	OK	51.9496	50.3071	-0.0463513	-0.0801965	0.941	0.99889	no
Zt32046	chromosome_1:3081361-3083712	ipo323	myco56	OK	24.8076	43.8416	0.82152	1.40463	0.22255	0.99889	no
Zt32625	chromosome_1:1099826-1101563	ipo323	myco56	OK	97.2214	98.3193	0.0162017	0.0271482	0.97965	0.99889	no
Zt33142	chromosome_1:1016790-1018507	ipo323	myco56	OK	45.4944	11.6172	-1.96942	-3.21806	0.0065	0.223529	no
Zt34547	chromosome_1:4587852-4589562	ipo323	myco56	OK	91.4895	82.1664	-0.155058	-0.263877	0.8142	0.99889	no
Zt32909	chromosome_1:4761789-4763761	ipo323	myco56	OK	2.44699	1.47643	-0.728893	-0.848591	0.47785	0.99889	no
Zt31519	chromosome_1:4719811-4721656	ipo323	myco56	OK	4.39473	2.51657	-0.804317	-1.04266	0.37425	0.99889	no
Zt32616	chromosome_1:5162954-5164817	ipo323	myco56	OK	8.67989	22.4619	1.37173	2.14736	0.0643	0.857856	no
Zt34788	chromosome_1:4205478-4207885	ipo323	myco56	OK	48.986	40.7638	-0.265082	-0.448377	0.68135	0.99889	no
Zt34736	chromosome_1:4219715-4222022	ipo323	myco56	OK	20.6281	136.56	2.72685	4.48034	0.0002	0.0221192	yes
Zt31803	chromosome_1:5260986-5262441	ipo323	myco56	OK	83.4489	62.3737	-0.419956	-0.74966	0.5141	0.99889	no
Zt33525	chromosome_1:1300653-1302624	ipo323	myco56	OK	6.14088	7.1745	0.224435	0.322092	0.78205	0.99889	no
Zt35119	chromosome_1:4931455-4933149	ipo323	myco56	OK	30.0755	18.6944	-0.685986	-1.14625	0.31855	0.99889	no
Zt34941	chromosome_1:4847789-4849204	ipo323	myco56	OK	10.0997	8.56624	-0.237585	-0.357249	0.7654	0.99889	no
Zt31393	chromosome_1:4096311-4098062	ipo323	myco56	OK	33.2649	39.8274	0.25976	0.450793	0.6907	0.99889	no
Zt32503	chromosome_1:1710118-1713140	ipo323	myco56	OK	52.928	106.882	1.01391	1.63283	0.13885	0.99889	no
Zt31366	chromosome_1:5296665-5298411	ipo323	myco56	OK	8.20446	5.0046	-0.713156	-1.01663	0.3828	0.99889	no
Zt35026	chromosome_1:603089-604706	ipo323	myco56	OK	4.42265	4.77295	0.109969	0.150161	0.89705	0.99889	no
Zt35181	chromosome_1:1934372-1936063	ipo323	myco56	OK	0.713656	19.3007	4.75728	5.48263	0.00945	0.281603	no
Zt32367	chromosome_1:692114-693593	ipo323	myco56	OK	65.7676	51.2706	-0.359245	-0.639798	0.5828	0.99889	no
Zt33111	chromosome_1:442530-444078	ipo323	myco56	OK	17.192	18.7569	0.125686	0.203692	0.86025	0.99889	no
Zt31582	chromosome_1:4755951-4757779	ipo323	myco56	OK	21.96	23.9913	0.127633	0.212986	0.85175	0.99889	no
Zt31341	chromosome_1:138343-140192	ipo323	myco56	OK	24.9498	17.9573	-0.474463	-0.783211	0.4866	0.99889	no
Zt34014	chromosome_1:2316138-2317626	ipo323	myco56	OK	1.35332	2.19576	0.698222	0.78908	0.52115	0.99889	no
Zt31323	chromosome_1:299157-300513	ipo323	myco56	OK	28.7298	37.3125	0.377115	0.659835	0.58185	0.99889	no
Zt35079	chromosome_1:5569960-5574309	ipo323	myco56	OK	73.6684	107.654	0.54728	0.675304	0.5529	0.99889	no
Zt33498	chromosome_1:863556-864941	ipo323	myco56	OK	10.2232	17.4896	0.774649	1.22422	0.3178	0.99889	no
Zt35107	chromosome_1:4151787-4152804	ipo323	myco56	OK	2.5571	4.2292	0.725878	0.929632	0.47505	0.99889	no
Zt34825	chromosome_1:3028804-3030196	ipo323	myco56	OK	46.7563	41.2795	-0.179738	-0.320864	0.7834	0.99889	no
Zt33211	chromosome_1:1945339-1946567	ipo323	myco56	OK	45.9483	49.113	0.0960944	0.174923	0.8848	0.99889	no
Zt31720	chromosome_1:5363948-5365423	ipo323	myco56	OK	59.1739	58.0766	-0.0270047	-0.0488271	0.96605	0.99889	no
Zt34157	chromosome_1:793633-795322	ipo323	myco56	OK	12.6385	16.0596	0.345614	0.546768	0.64075	0.99889	no
Zt33894	chromosome_1:5646968-5648300	ipo323	myco56	OK	46.1358	41.5975	-0.14939	-0.266272	0.8184	0.99889	no
Zt31509	chromosome_1:2238026-2239310	ipo323	myco56	OK	50.6201	43.4438	-0.220559	-0.396058	0.7376	0.99889	no
Zt34965	chromosome_1:1745694-1750061	ipo323	myco56	OK	194.819	163.813	-0.250084	-0.25828	0.791	0.99889	no
Zt34808	chromosome_1:328404-331095	ipo323	myco56	OK	31.8361	33.5741	0.0766856	0.0768244	0.9375	0.99889	no
Zt34626	chromosome_1:3073325-3074605	ipo323	myco56	OK	43.1141	48.9632	0.183539	0.332113	0.77475	0.99889	no
Zt32139	chromosome_1:4471226-4472480	ipo323	myco56	OK	42.2831	52.9387	0.324239	0.586072	0.62005	0.99889	no
Zt33131	chromosome_1:5641148-5642508	ipo323	myco56	OK	41.4047	42.3953	0.0341097	0.0612148	0.9565	0.99889	no
Zt31345	chromosome_1:5592164-5594297	ipo323	myco56	OK	62.0294	60.8789	-0.0270091	-0.0452646	0.96565	0.99889	no
Zt35062	chromosome_1:5625316-5626309	ipo323	myco56	OK	0.806263	2.80182	1.79704	1.85372	0.20565	0.99889	no
Zt31641	chromosome_1:5098928-5099702	ipo323	myco56	OK	40.7675	46.7747	0.19831	0.378808	0.7805	0.99889	no
Zt33113	chromosome_1:5930450-5931671	ipo323	myco56	OK	25.7808	28.274	0.133179	0.22839	0.8474	0.99889	no
Zt31520	chromosome_1:5281959-5283156	ipo323	myco56	OK	30.3128	56.5273	0.899019	1.60734	0.18005	0.99889	no
Zt34453	chromosome_1:1286228-1287458	ipo323	myco56	OK	103.138	214.051	1.05338	1.87035	0.12155	0.99889	no
Zt34335	chromosome_1:4555104-4556220	ipo323	myco56	OK	99.7417	90.6507	-0.137878	-0.258939	0.8372	0.99889	no
Zt34306	chromosome_1:697180-698372	ipo323	myco56	OK	1.96372	1.79819	-0.127049	-0.145529	0.9113	0.99889	no
Zt34966	chromosome_1:2227264-2228509	ipo323	myco56	OK	91.9584	118.554	0.366496	0.665582	0.5778	0.99889	no
Zt33363	chromosome_1:4314850-4316182	ipo323	myco56	OK	16.8535	23.4499	0.476538	0.78589	0.50975	0.99889	no
Zt33257	chromosome_1:986328-987612	ipo323	myco56	OK	45.0016	38.7627	-0.215307	-0.385399	0.74305	0.99889	no
Zt33604	chromosome_1:5489320-5490287	ipo323	myco56	OK	0.470567	2.1037	2.16046	1.83426	0.2244	0.99889	no
Zt32274	chromosome_1:964671-965889	ipo323	myco56	OK	1.74454	8.50796	2.28597	2.91793	0.033	0.586612	no
Zt34332	chromosome_1:4510695-4511870	ipo323	myco56	OK	363.795	199.961	-0.863409	-1.46545	0.23035	0.99889	no
Zt31826	chromosome_1:811093-812542	ipo323	myco56	OK	131.148	96.2846	-0.445815	-0.838411	0.4939	0.99889	no
Zt33473	chromosome_1:2598560-2599568	ipo323	myco56	OK	35.5087	54.5676	0.619872	1.13771	0.3589	0.99889	no
Zt32207	chromosome_1:866664-867600	ipo323	myco56	OK	19.1131	25.5477	0.418632	0.715347	0.57365	0.99889	no
Zt34379	chromosome_1:5694343-5696673	ipo323	myco56	OK	22.3356	15.5193	-0.525279	-0.854738	0.4324	0.99889	no
Zt33309	chromosome_1:130942-131722	ipo323	myco56	OK	4.08259	12.8845	1.65808	2.45258	0.0864	0.989452	no
Zt31918	chromosome_1:5527061-5528290	ipo323	myco56	OK	12.7567	18.7585	0.556292	0.896299	0.46725	0.99889	no
Zt34236	chromosome_1:2434608-2435607	ipo323	myco56	OK	23.5325	23.3538	-0.0109919	-0.0187952	0.98745	0.99889	no
Zt34505	chromosome_1:5932183-5933533	ipo323	myco56	OK	16.6776	24.9596	0.581684	0.966964	0.42885	0.99889	no
Zt32934	chromosome_1:5555851-5557017	ipo323	myco56	OK	30.0334	35.9711	0.260271	0.460271	0.70605	0.99889	no
Zt31911	chromosome_1:3840794-3842045	ipo323	myco56	OK	21.4524	20.9587	-0.0335916	-0.0565842	0.9612	0.99889	no
Zt32337	chromosome_1:153145-154180	ipo323	myco56	OK	49.7057	24.992	-0.991943	-1.76991	0.1531	0.99889	no
Zt31514	chromosome_1:2482832-2484029	ipo323	myco56	OK	69.9001	73.5214	0.0728687	0.139575	0.91185	0.99889	no
Zt35040	chromosome_1:3931775-3932791	ipo323	myco56	OK	48.9309	43.11	-0.182721	-0.340383	0.7886	0.99889	no
Zt32807	chromosome_1:5280393-5281425	ipo323	myco56	OK	20.7575	19.2686	-0.10738	-0.179825	0.88195	0.99889	no
Zt32965	chromosome_1:622733-623868	ipo323	myco56	OK	11.5924	11.6698	0.00960925	0.0150588	0.9898	0.99889	no
Zt31350	chromosome_1:1161459-1162230	ipo323	myco56	OK	10.2454	60.5948	2.56421	4.50243	0.00265	0.128058	no
Zt32521	chromosome_1:2920656-2921683	ipo323	myco56	OK	19.5309	20.5656	0.0744702	0.126618	0.91635	0.99889	no
Zt34686	chromosome_1:2088195-2089068	ipo323	myco56	OK	75.5397	73.3647	-0.0421495	-0.0831995	0.94945	0.99889	no
Zt34411	chromosome_1:2624636-2625572	ipo323	myco56	OK	152.527	117.219	-0.379853	-0.740017	0.5561	0.99889	no
Zt33390	chromosome_1:4710357-4710998	ipo323	myco56	OK	119.201	107.233	-0.152645	-0.347615	0.8139	0.99889	no
Zt31931	chromosome_1:3000353-3001541	ipo323	myco56	OK	9.72055	93.9131	3.27222	5.50455	5.00E-05	0.00759463	yes
Zt33455	chromosome_1:1750187-1750980	ipo323	myco56	OK	57.0186	54.8588	-0.0557099	-0.110986	0.9358	0.99889	no
Zt32282	chromosome_1:5710118-5711110	ipo323	myco56	OK	139.845	136.76	-0.0321864	-0.0627883	0.9599	0.99889	no
Zt33591	chromosome_1:4057710-4058637	ipo323	myco56	OK	9.38753	17.3068	0.882524	1.40926	0.2779	0.99889	no
Zt34603	chromosome_1:3972154-3973537	ipo323	myco56	OK	39.3968	38.5218	-0.0324027	-0.0597028	0.96325	0.99889	no
Zt33608	chromosome_1:4093799-4095071	ipo323	myco56	OK	54.0643	36.246	-0.576854	-1.06545	0.40085	0.99889	no
Zt31703	chromosome_1:2910520-2911694	ipo323	myco56	OK	150.965	125.722	-0.26398	-0.513517	0.68155	0.99889	no
Zt34998	chromosome_1:5921182-5922383	ipo323	myco56	OK	42.6997	56.5291	0.40477	0.767435	0.55375	0.99889	no
Zt33861	chromosome_1:2941107-2942126	ipo323	myco56	OK	2.19813	3.37282	0.617676	0.759685	0.57225	0.99889	no
Zt33834	chromosome_1:3648535-3649374	ipo323	myco56	OK	21.8105	31.2774	0.520097	0.938214	0.48745	0.99889	no
Zt33635	chromosome_1:579844-580948	ipo323	myco56	OK	125.858	103.525	-0.281824	-0.566928	0.66455	0.99889	no
Zt33747	chromosome_1:942183-943008	ipo323	myco56	OK	9.13713	6.64054	-0.460442	-0.696606	0.6111	0.99889	no
Zt35016	chromosome_1:933249-934092	ipo323	myco56	OK	12.5638	12.9078	0.0389737	0.0631751	0.96245	0.99889	no
Zt33929	chromosome_1:2278391-2279562	ipo323	myco56	OK	88.5361	83.7874	-0.0795327	-0.160064	0.9013	0.99889	no
Zt31624	chromosome_1:4691641-4692436	ipo323	myco56	OK	60.3252	64.0722	0.0869362	0.175006	0.8978	0.99889	no
Zt34926	chromosome_1:1461255-1462017	ipo323	myco56	OK	58.9875	77.8241	0.399807	0.806159	0.5476	0.99889	no
Zt33451	chromosome_1:4832712-4833597	ipo323	myco56	OK	49.003	40.5798	-0.272105	-0.509601	0.6984	0.99889	no
Zt31902	chromosome_1:5528744-5529767	ipo323	myco56	OK	5.79483	12.3302	1.08936	1.64938	0.22105	0.99889	no
Zt33235	chromosome_1:2423299-2424224	ipo323	myco56	OK	53.7085	62.1997	0.211757	0.412487	0.75685	0.99889	no
Zt31712	chromosome_1:4414567-4415395	ipo323	myco56	OK	24.8644	22.5457	-0.141229	-0.251048	0.8529	0.99889	no
Zt33196	chromosome_1:2415220-2417395	ipo323	myco56	OK	40.2042	48.7719	0.278703	0.475187	0.67065	0.99889	no
